lon                    lat            ve               vn          se               sn                     ren                                                      
101.3880            27.0470            9.200      -11.800          0.707            0.707                -0.0170                                           H346_GPS                                                                              
101.4550            27.6680            11.300      -11.500          0.736            0.707                -0.0100                                           H349_GPS                                                                        
101.5680            25.3490            5.900      -10.100          0.693            0.697                -0.0020                                           H351_GPS                                                                              
101.6630            24.4280            1.900      -10.300          0.693            0.693                0.0070                                                 H352_GPS                                                                                    
101.8780            24.9780            3.200      -11.300          0.693            0.693                -0.0060                                           H356_GPS                                                                              
101.8650            28.2300            10.500      -12.000          0.736            0.736                -0.0200                                     H357_GPS                                                                        
101.9530            28.6320            11.600      -10.900          0.693            0.693                0.0040                                     H358_GPS                                                                              
101.6110            24.7080            2.400      -10.100          0.707            0.707                0.0140                                           HB05_GPS                                                                                    
99.4360            26.4680            1.800      -10.800          1.000            0.910                -0.0040                                           HN01_GPS                                                                                    
100.1690            26.8830            5.000      -14.700          0.697            0.697                0.0090                                           JB38_GPS                                                                                    
101.1970            28.0210            9.400      -12.500          1.000            1.100                0.0220                                           SP28_GPS                                                                                    
99.1400            27.3110            6.400      -10.600          0.707            0.707                -0.0090                                           Y293_GPS                                                                                    
99.9500            25.6900            1.400      -10.700          0.693            0.693                -0                                                                               Y299_GPS                                                                                    
100.3690            25.4370            1.900      -12.200          0.837            0.779                0.0190                                           Y302_GPS                                                                                    
100.5670            25.4400            3.300      -10.100          0.693            0.693                0.0050                                           Y307_GPS                                                                                    
100.5840            24.7880            2.000      -8.600          0.707            0.693                  0                                                                   Y313_GPS                                                                                          
100.9140            24.2840            2.200      -6.600          2.400            1.900                -0.1080                                           Y315_GPS                                                                                    
99.2690            26.4920            1.600      -11.300          0.707            0.707                0.0350                                           YD02_GPS                                                                                          
99.7640            26.5290            2.600      -11.800          0.736            0.736                0.0180                                           YD03_GPS                                                                                          
100.4350            26.8130            7.500      -12.200          0.736            0.736                0.0200                                           YD04_GPS                                                                                    
100.6160            26.8010            5.600      -12.600          0.707            0.707                0.0300                                           YD05_GPS                                                                                    
101.0150            26.5220            7.200      -10.300          0.779            0.736                0.0330                                           YD06_GPS                                                                                    
98.6250            26.0180            -1.100      -7.000          0.736            0.736                0.0300                                                 YD07_GPS                                                                                          
98.7800            25.9470            -1.500      -8.800          0.779            0.779                0.0250                                                 YD08_GPS                                                                                          
98.9400            25.8360            -1.100      -8.700          0.779            0.736                0.0350                                                 YD11_GPS                                                                                          
